年份,分组,季度,加权回报率,月份,Year_Quarter,Date,Adjusted_Returns,Cumulative_Return
2013,2,12,0.1295656337661226,9-12,2013M12,2013-12-01,1.1295656337661226,1.0
2013,1,12,0.1256625321055509,9-12,2013M12,2013-12-01,1.125662532105551,1.0
2013,3,12,0.1916384267420676,9-12,2013M12,2013-12-01,1.1916384267420677,1.0
2013,0,12,0.1081666326592576,9-12,2013M12,2013-12-01,1.1081666326592576,1.0
2013,4,12,0.1936858611046086,9-12,2013M12,2013-12-01,1.1936858611046086,1.0
2014,0,4,0.0034413977120488,1-4,2014M4,2014-04-01,1.0034413977120489,1.0816669112913155
2014,3,4,0.0543376862896052,1-4,2014M4,2014-04-01,1.0543376862896052,1.3159633260900727
2014,1,4,0.046653546465621,1-4,2014M4,2014-04-01,1.046653546465621,1.2478786786275908
2014,2,4,0.006624971221143,1-4,2014M4,2014-04-01,1.006624971221143,1.1011571042976003
2014,4,4,0.0667651628731,1-4,2014M4,2014-04-01,1.0667651628731,1.2146241780670821
2014,2,8,0.1227693102702072,5-8,2014M8,2014-08-01,1.1227693102702072,1.2363454024913554
2014,0,8,0.1501705927524779,5-8,2014M8,2014-08-01,1.150170592752478,1.2441014725206743
2014,4,8,0.1218505823439479,5-8,2014M8,2014-08-01,1.121850582343948,1.3626268414935951
2014,1,8,0.1615853896365149,5-8,2014M8,2014-08-01,1.161585389636515,1.4495176411327295
2014,3,8,0.187263933451051,5-8,2014M8,2014-08-01,1.187263933451051,1.5623957948110279
2014,3,12,0.3306926954006848,9-12,2014M12,2014-12-01,1.3306926954006848,2.079068671479782
2014,4,12,0.2581019174795802,9-12,2014M12,2014-12-01,1.2581019174795802,1.714323442092236
2014,1,12,0.3332204601094346,9-12,2014M12,2014-12-01,1.3332204601094346,1.93252657644772
2014,0,12,0.3340220089506069,9-12,2014M12,2014-12-01,1.334022008950607,1.6596587457104381
2014,2,12,0.2595551302077901,9-12,2014M12,2014-12-01,1.25955513020779,1.5572451944168018
2015,4,4,0.5208778476935376,1-4,2015M4,2015-04-01,1.5208778476935376,2.6072765468598167
2015,2,4,0.5653985235548138,1-4,2015M4,2015-04-01,1.5653985235548138,2.4377093281528905
2015,1,4,0.3943891044166927,1-4,2015M4,2015-04-01,1.3943891044166927,2.6946940021943937
2015,3,4,0.5207198301738176,1-4,2015M4,2015-04-01,1.5207198301738176,3.1616809570124387
2015,0,4,0.4281288620136461,1-4,2015M4,2015-04-01,1.428128862013646,2.370206555842443
2015,1,8,0.3141865833561725,5-8,2015M8,2015-08-01,1.3141865833561726,3.541330703934221
2015,0,8,0.0811837179600831,5-8,2015M8,2015-08-01,1.0811837179600832,2.562628736379096
2015,2,8,0.2066304132813969,5-8,2015M8,2015-08-01,1.206630413281397,2.941414214089039
2015,3,8,0.2177486580421017,5-8,2015M8,2015-08-01,1.2177486580421018,3.850132742559165
2015,4,8,0.2300706128664986,5-8,2015M8,2015-08-01,1.2300706128664987,3.207134259908303
2015,1,12,0.0913051091947849,9-12,2015M12,2015-12-01,1.091305109194785,3.8646722905517796
2015,2,12,0.1035639373231227,9-12,2015M12,2015-12-01,1.1035639373231227,3.2460386513982984
2015,3,12,0.165137275848348,9-12,2015M12,2015-12-01,1.165137275848348,4.485933175319914
2015,0,12,0.1191358781830973,9-12,2015M12,2015-12-01,1.1191358781830973,2.8679297613448607
2015,4,12,0.3229031079416531,9-12,2015M12,2015-12-01,1.3229031079416531,4.2427278800188475
2016,1,4,-0.1554599196063499,1-4,2016M4,2016-04-01,0.8445400803936501,3.263870646957712
2016,4,4,-0.131230834416261,1-4,2016M4,2016-04-01,0.8687691655837391,3.6859511601228405
2016,3,4,-0.1508677217062747,1-4,2016M4,2016-04-01,0.8491322782937253,3.809150657432804
2016,0,4,-0.1689356663861235,1-4,2016M4,2016-04-01,0.8310643336138765,2.3834341359634705
2016,2,4,-0.1389896203217238,1-4,2016M4,2016-04-01,0.8610103796782762,2.7948729716908085
2016,3,8,0.0379099365723831,5-8,2016M8,2016-08-01,1.0379099365723832,3.9535553172507334
2016,4,8,0.0596518699861003,5-8,2016M8,2016-08-01,1.0596518699861004,3.9058250395016043
2016,0,8,0.0297413221675901,5-8,2016M8,2016-08-01,1.0297413221675902,2.454320618466392
2016,1,8,0.0344762221177366,5-8,2016M8,2016-08-01,1.0344762221177366,3.376396576345787
2016,2,8,0.0712902659813146,5-8,2016M8,2016-08-01,1.0712902659813146,2.9941202092266335
2016,2,12,0.0985265315139169,9-12,2016M12,2016-12-01,1.098526531513917,3.289120488377457
2016,1,12,0.0804930023455923,9-12,2016M12,2016-12-01,1.0804930023455923,3.648172873885238
2016,3,12,0.0893412818211103,9-12,2016M12,2016-12-01,1.0893412818211103,4.30677101704458
2016,0,12,0.1515977882911587,9-12,2016M12,2016-12-01,1.1515977882911588,2.826390195983286
2016,4,12,0.1167453173167052,9-12,2016M12,2016-12-01,1.1167453173167052,4.3618118231217515
2017,4,4,0.0437098770189228,1-4,2017M4,2017-04-01,1.0437098770189228,4.552466081490087
2017,2,4,0.0064506983971202,1-4,2017M4,2017-04-01,1.0064506983971202,3.310337612639769
2017,1,4,0.0258817416371213,1-4,2017M4,2017-04-01,1.0258817416371213,3.74259394165469
2017,3,4,-0.0037551105460806,1-4,2017M4,2017-04-01,0.9962448894539194,4.290598615778922
2017,0,4,0.0072604696125757,1-4,2017M4,2017-04-01,1.0072604696125758,2.8469111161145046
2017,1,8,0.0504867854403101,5-8,2017M8,2017-08-01,1.0504867854403102,3.931545478977215
2017,0,8,-0.0206184819694364,5-8,2017M8,2017-08-01,0.9793815180305636,2.7882121305983096
2017,2,8,0.0190659660178738,5-8,2017M8,2017-08-01,1.0190659660178738,3.3734523970700483
2017,4,8,-0.030481369849308,5-8,2017M8,2017-08-01,0.969518630150692,4.413700679133757
2017,3,8,-0.0382224594768898,5-8,2017M8,2017-08-01,0.9617775405231102,4.1266013840557125
2017,0,12,0.0766342888196889,9-12,2017M12,2017-12-01,1.076634288819689,3.001884784305141
2017,4,12,0.0555008266889671,9-12,2017M12,2017-12-01,1.0555008266889672,4.658664715583336
2017,2,12,0.0598074188318646,9-12,2017M12,2017-12-01,1.0598074188318647,3.5752098774909746
2017,1,12,0.0757937396894183,9-12,2017M12,2017-12-01,1.0757937396894184,4.2295320135879235
2017,3,12,0.0283607544487614,9-12,2017M12,2017-12-01,1.0283607544487614,4.243634912616836
2018,3,4,0.0216790452534523,1-4,2018M4,2018-04-01,1.0216790452534523,4.335632865926586
2018,0,4,-0.0143586260053512,1-4,2018M4,2018-04-01,0.9856413739946488,2.958781843376149
2018,1,4,0.0181290204729329,1-4,2018M4,2018-04-01,1.018129020472933,4.306209286053185
2018,2,4,0.026098075839454,1-4,2018M4,2018-04-01,1.026098075839454,3.668515976015699
2018,4,4,0.0134851668354087,1-4,2018M4,2018-04-01,1.0134851668354088,4.721487586503209
2018,0,8,-0.1421110577519915,5-8,2018M8,2018-08-01,0.8578889422480085,2.5383062259565774
2018,1,8,-0.1128093197560738,5-8,2018M8,2018-08-01,0.8871906802439262,3.820428745766237
2018,4,8,-0.0636613970815792,5-8,2018M8,2018-08-01,0.9363386029184209,4.420911090443082
2018,2,8,-0.1313919916715996,5-8,2018M8,2018-08-01,0.8686080083284005,3.1865023554479146
2018,3,8,-0.1162240525783474,5-8,2018M8,2018-08-01,0.8837759474216526,3.831728043756723
2018,4,12,-0.1273183302021011,9-12,2018M12,2018-12-01,0.872681669797899,3.8580480724359187
2018,3,12,-0.1063954364058512,9-12,2018M12,2018-12-01,0.8936045635941487,3.424049666352688
2018,2,12,-0.1154553199815223,9-12,2018M12,2018-12-01,0.8845446800184777,2.818603706377801
2018,1,12,-0.1452797279920364,9-12,2018M12,2018-12-01,0.8547202720079636,3.2653978967683615
2018,0,12,-0.0795452166842215,9-12,2018M12,2018-12-01,0.9204547833157785,2.336396107201953
2019,0,4,0.4087063280612246,1-4,2019M4,2019-04-01,1.4087063280612246,3.2912959810730023
2019,4,4,0.3273046371828949,1-4,2019M4,2019-04-01,1.327304637182895,5.120805097018724
2019,1,4,0.3752529142978156,1-4,2019M4,2019-04-01,1.3752529142978156,4.490747973872646
2019,3,4,0.3455922294056728,1-4,2019M4,2019-04-01,1.3455922294056728,4.607374624143263
2019,2,4,0.3718056458922345,1-4,2019M4,2019-04-01,1.3718056458922345,3.8665764779418454
2019,4,8,-0.007117948156196,5-8,2019M8,2019-08-01,0.992882051843804,5.084355471820161
2019,3,8,-0.0358803710499188,5-8,2019M8,2019-08-01,0.9641196289500812,4.442060313063023
2019,2,8,-0.0368533511624177,5-8,2019M8,2019-08-01,0.9631466488375823,3.7240801772039105
2019,1,8,-0.0299287506226183,5-8,2019M8,2019-08-01,0.9700712493773817,4.356345497653583
2019,0,8,-0.0661694292425943,5-8,2019M8,2019-08-01,0.9338305707574057,3.0735128045369575
2019,2,12,0.0517808133911095,9-12,2019M12,2019-12-01,1.0517808133911095,3.9169160779132364
2019,1,12,0.0464575640392228,9-12,2019M12,2019-12-01,1.0464575640392229,4.558730697587805
2019,3,12,0.0835497991471376,9-12,2019M12,2019-12-01,1.0835497991471377,4.81319356001891
2019,0,12,0.0168934252253558,9-12,2019M12,2019-12-01,1.0168934252253559,3.1254349632795764
