年份,分组,季度,加权回报率,月份,Year_Quarter,Cumulative_Return
2003,4,12,0.0,9-12,2003Q12,1.0
2003,0,12,0.0,9-12,2003Q12,1.0
2003,3,12,0.0,9-12,2003Q12,1.0
2003,1,12,0.0,9-12,2003Q12,1.0
2003,2,12,0.0,9-12,2003Q12,1.0
2003,0,4,,1-4,2003Q4,
2003,3,4,,1-4,2003Q4,
2003,4,4,,1-4,2003Q4,
2003,2,4,,1-4,2003Q4,
2003,1,4,,1-4,2003Q4,
2003,1,8,,5-8,2003Q8,
2003,3,8,,5-8,2003Q8,
2003,4,8,,5-8,2003Q8,
2003,0,8,,5-8,2003Q8,
2003,2,8,,5-8,2003Q8,
2004,2,12,0.0,9-12,2004Q12,1.0
2004,1,12,0.0,9-12,2004Q12,1.0
2004,4,12,0.0,9-12,2004Q12,1.0
2004,0,12,0.0,9-12,2004Q12,1.0
2004,3,12,0.0,9-12,2004Q12,1.0
2004,1,4,,1-4,2004Q4,
2004,0,4,,1-4,2004Q4,
2004,2,4,,1-4,2004Q4,
2004,4,4,,1-4,2004Q4,
2004,3,4,,1-4,2004Q4,
2004,4,8,,5-8,2004Q8,
2004,0,8,,5-8,2004Q8,
2004,2,8,,5-8,2004Q8,
2004,1,8,,5-8,2004Q8,
2004,3,8,,5-8,2004Q8,
2005,3,12,0.0,9-12,2005Q12,1.0
2005,4,12,0.0,9-12,2005Q12,1.0
2005,1,12,0.0,9-12,2005Q12,1.0
2005,2,12,0.0,9-12,2005Q12,1.0
2005,0,12,0.0,9-12,2005Q12,1.0
2005,0,4,,1-4,2005Q4,
2005,4,4,,1-4,2005Q4,
2005,3,4,,1-4,2005Q4,
2005,1,4,,1-4,2005Q4,
2005,2,4,,1-4,2005Q4,
2005,2,8,,5-8,2005Q8,
2005,4,8,,5-8,2005Q8,
2005,1,8,,5-8,2005Q8,
2005,3,8,,5-8,2005Q8,
2005,0,8,,5-8,2005Q8,
2006,4,12,0.0,9-12,2006Q12,1.0
2006,1,12,0.0,9-12,2006Q12,1.0
2006,3,12,0.0,9-12,2006Q12,1.0
2006,2,12,0.0,9-12,2006Q12,1.0
2006,0,12,0.0,9-12,2006Q12,1.0
2006,3,4,,1-4,2006Q4,
2006,0,4,,1-4,2006Q4,
2006,1,4,,1-4,2006Q4,
2006,4,4,,1-4,2006Q4,
2006,2,4,,1-4,2006Q4,
2006,4,8,,5-8,2006Q8,
2006,3,8,,5-8,2006Q8,
2006,1,8,,5-8,2006Q8,
2006,0,8,,5-8,2006Q8,
2006,2,8,,5-8,2006Q8,
2007,4,12,0.0,9-12,2007Q12,1.0
2007,0,12,0.0,9-12,2007Q12,1.0
2007,1,12,0.0,9-12,2007Q12,1.0
2007,2,12,0.0,9-12,2007Q12,1.0
2007,3,12,0.0,9-12,2007Q12,1.0
2007,0,4,,1-4,2007Q4,
2007,1,4,,1-4,2007Q4,
2007,4,4,,1-4,2007Q4,
2007,2,4,,1-4,2007Q4,
2007,3,4,,1-4,2007Q4,
2007,4,8,,5-8,2007Q8,
2007,2,8,,5-8,2007Q8,
2007,1,8,,5-8,2007Q8,
2007,0,8,,5-8,2007Q8,
2007,3,8,,5-8,2007Q8,
2008,3,12,0.0,9-12,2008Q12,1.0
2008,4,12,0.0,9-12,2008Q12,1.0
2008,2,12,0.0,9-12,2008Q12,1.0
2008,1,12,0.0,9-12,2008Q12,1.0
2008,0,12,0.0,9-12,2008Q12,1.0
2008,4,4,,1-4,2008Q4,
2008,1,4,,1-4,2008Q4,
2008,2,4,,1-4,2008Q4,
2008,0,4,,1-4,2008Q4,
2008,3,4,,1-4,2008Q4,
2008,4,8,0.0,5-8,2008Q8,1.0
2008,1,8,0.0,5-8,2008Q8,1.0
2008,3,8,0.0,5-8,2008Q8,1.0
2008,2,8,0.0,5-8,2008Q8,1.0
2008,0,8,0.0,5-8,2008Q8,1.0
2009,1,12,0.0,9-12,2009Q12,1.0
2009,4,12,0.0,9-12,2009Q12,1.0
2009,0,12,0.0,9-12,2009Q12,1.0
2009,3,12,0.0,9-12,2009Q12,1.0
2009,2,12,0.0,9-12,2009Q12,1.0
2009,4,4,,1-4,2009Q4,
2009,3,4,,1-4,2009Q4,
2009,1,4,,1-4,2009Q4,
2009,2,4,,1-4,2009Q4,
2009,0,4,,1-4,2009Q4,
2009,1,8,,5-8,2009Q8,
2009,3,8,,5-8,2009Q8,
2009,0,8,,5-8,2009Q8,
2009,4,8,,5-8,2009Q8,
2009,2,8,,5-8,2009Q8,
2010,2,12,0.1714441527875123,9-12,2010Q12,1.1714441527875123
2010,3,12,0.3118048436349914,9-12,2010Q12,1.3118048436349914
2010,1,12,0.1531925429680309,9-12,2010Q12,1.153192542968031
2010,4,12,0.1854196669752599,9-12,2010Q12,1.18541966697526
2010,0,12,0.155093132494138,9-12,2010Q12,1.155093132494138
2010,2,4,,1-4,2010Q4,
2010,3,4,,1-4,2010Q4,
2010,0,4,,1-4,2010Q4,
2010,4,4,,1-4,2010Q4,
2010,1,4,,1-4,2010Q4,
2010,1,8,,5-8,2010Q8,
2010,2,8,,5-8,2010Q8,
2010,0,8,,5-8,2010Q8,
2010,3,8,,5-8,2010Q8,
2010,4,8,,5-8,2010Q8,
2011,3,12,-0.1053913769470277,9-12,2011Q12,1.2064134666879638
2011,2,12,-0.1065652163749305,9-12,2011Q12,1.064878936412582
2011,1,12,-0.1145642618965805,9-12,2011Q12,1.0386282810714504
2011,4,12,-0.1324134781564178,9-12,2011Q12,1.0530061888188422
2011,0,12,-0.100730440101143,9-12,2011Q12,1.054362692392995
2011,2,4,,1-4,2011Q4,
2011,3,4,,1-4,2011Q4,
