年份,分组,季度,加权回报率,月份
2003,0,4,,1-4
2003,0,8,,5-8
2003,0,12,0.0,9-12
2003,1,4,,1-4
2003,1,8,,5-8
2003,1,12,0.0,9-12
2003,2,4,,1-4
2003,2,8,,5-8
2003,2,12,0.0,9-12
2003,3,4,,1-4
2003,3,8,,5-8
2003,3,12,0.0,9-12
2003,4,4,,1-4
2003,4,8,,5-8
2003,4,12,0.0,9-12
2004,0,4,,1-4
2004,0,8,,5-8
2004,0,12,0.0,9-12
2004,1,4,,1-4
2004,1,8,,5-8
2004,1,12,0.0,9-12
2004,2,4,,1-4
2004,2,8,,5-8
2004,2,12,0.0,9-12
2004,3,4,,1-4
2004,3,8,,5-8
2004,3,12,0.0,9-12
2004,4,4,,1-4
2004,4,8,,5-8
2004,4,12,0.0,9-12
2005,0,4,,1-4
2005,0,8,,5-8
2005,0,12,0.0,9-12
2005,1,4,,1-4
2005,1,8,,5-8
2005,1,12,0.0,9-12
2005,2,4,,1-4
2005,2,8,,5-8
2005,2,12,0.0,9-12
2005,3,4,,1-4
2005,3,8,,5-8
2005,3,12,0.0,9-12
2005,4,4,,1-4
2005,4,8,,5-8
2005,4,12,0.0,9-12
2006,0,4,,1-4
2006,0,8,,5-8
2006,0,12,0.0,9-12
2006,1,4,,1-4
2006,1,8,,5-8
2006,1,12,0.0,9-12
2006,2,4,,1-4
2006,2,8,,5-8
2006,2,12,0.0,9-12
2006,3,4,,1-4
2006,3,8,,5-8
2006,3,12,0.0,9-12
2006,4,4,,1-4
2006,4,8,,5-8
2006,4,12,0.0,9-12
2007,0,4,,1-4
2007,0,8,,5-8
2007,0,12,0.0,9-12
2007,1,4,,1-4
2007,1,8,,5-8
2007,1,12,0.0,9-12
2007,2,4,,1-4
2007,2,8,,5-8
2007,2,12,0.0,9-12
2007,3,4,,1-4
2007,3,8,,5-8
2007,3,12,0.0,9-12
2007,4,4,,1-4
2007,4,8,,5-8
2007,4,12,0.0,9-12
2008,0,4,,1-4
2008,0,8,0.0,5-8
2008,0,12,0.0,9-12
2008,1,4,,1-4
2008,1,8,0.0,5-8
2008,1,12,0.0,9-12
2008,2,4,,1-4
2008,2,8,0.0,5-8
2008,2,12,0.0,9-12
2008,3,4,,1-4
2008,3,8,0.0,5-8
2008,3,12,0.0,9-12
2008,4,4,,1-4
2008,4,8,0.0,5-8
2008,4,12,0.0,9-12
2009,0,4,,1-4
2009,0,8,,5-8
2009,0,12,0.0,9-12
2009,1,4,,1-4
2009,1,8,,5-8
2009,1,12,0.0,9-12
2009,2,4,,1-4
2009,2,8,,5-8
2009,2,12,0.0,9-12
2009,3,4,,1-4
2009,3,8,,5-8
2009,3,12,0.0,9-12
2009,4,4,,1-4
2009,4,8,,5-8
2009,4,12,0.0,9-12
2010,0,4,,1-4
2010,0,8,,5-8
2010,0,12,0.15509313249413803,9-12
2010,1,4,,1-4
2010,1,8,,5-8
2010,1,12,0.15319254296803098,9-12
2010,2,4,,1-4
2010,2,8,,5-8
2010,2,12,0.17144415278751235,9-12
2010,3,4,,1-4
2010,3,8,,5-8
2010,3,12,0.3118048436349914,9-12
2010,4,4,,1-4
2010,4,8,,5-8
2010,4,12,0.1854196669752599,9-12
2011,0,4,,1-4
2011,0,8,,5-8
2011,0,12,-0.10073044010114307,9-12
2011,1,4,,1-4
2011,1,8,,5-8
2011,1,12,-0.11456426189658053,9-12
2011,2,4,,1-4
2011,2,8,,5-8
