年份,月份,分组,加权回报率
2013,1,0,0
2013,2,0,0
2013,3,0,0
2013,4,0,0
2013,1,1,0
2013,2,1,0
2013,3,1,0
2013,4,1,0
2013,1,2,0
2013,2,2,0
2013,3,2,0
2013,4,2,0
2013,1,3,0
2013,2,3,0
2013,3,3,0
2013,4,3,0
2013,1,4,0
2013,2,4,0
2013,3,4,0
2013,4,4,0
2014,1,0,0.004890218
2014,2,0,0.027338873
2014,3,0,-0.028014751
2014,4,0,-0.000533119
2014,1,1,0.053197554
2014,2,1,0.01845052
2014,3,1,-0.024217167
2014,4,1,-0.005744023
2014,1,2,0.040936716
2014,2,2,0.015519607
2014,3,2,-0.047741058
2014,4,2,-0.010259363
2014,1,3,0.066868415
2014,2,3,0.024133692
2014,3,3,-0.03503354
2014,4,3,0.004251268
2014,1,4,0.060393389
2014,2,4,0.031744615
2014,3,4,-0.024943903
2014,4,4,-0.009478026
2015,1,0,0.063432186
2015,2,0,0.089030143
2015,3,0,0.233155076
2015,4,0,0.182771272
2015,1,1,0.05895992
2015,2,1,0.073496299
2015,3,1,0.226602671
2015,4,1,0.224501237
2015,1,2,0.11086318
2015,2,2,0.111940906
2015,3,2,0.267309354
2015,4,2,0.191503856
2015,1,3,0.088531568
2015,2,3,0.107711454
2015,3,3,0.26119295
2015,4,3,0.191208898
2015,1,4,0.101256841
2015,2,4,0.112719354
2015,3,4,0.241138001
2015,4,4,0.171039551
2016,1,0,-0.285947578
2016,2,0,-0.025480293
2016,3,0,0.194301346
2016,4,0,-0.006656339
2016,1,1,-0.274520634
2016,2,1,-0.034382244
2016,3,1,0.20556313
2016,4,1,-0.013474545
2016,1,2,-0.263925478
2016,2,2,-0.016907948
2016,3,2,0.189850552
2016,4,2,-0.006838085
2016,1,3,-0.281311929
2016,2,3,-0.018139761
2016,3,3,0.203331375
2016,4,3,-0.017105098
2016,1,4,-0.262295292
2016,2,4,-0.001054594
2016,3,4,0.178908474
2016,4,4,-0.013125465
2017,1,0,-0.01808484
2017,2,0,0.03868919
2017,3,0,-0.012397426
2017,4,0,-0.034448037
2017,1,1,-0.011730202
2017,2,1,0.033917006
2017,3,1,0.004005515
2017,4,1,-0.030015848
2017,1,2,-0.027155417
2017,2,2,0.035822305
2017,3,2,-0.001233926
2017,4,2,-0.019669985
2017,1,3,-0.027649175
2017,2,3,0.038276151
2017,3,3,-0.0131975
2017,4,3,-0.036972615
2017,1,4,-0.027880839
2017,2,4,0.091722671
2017,3,4,-0.016559791
2017,4,4,-0.037290617
2018,1,0,0.000916925
2018,2,0,-0.035613387
2018,3,0,0.021103393
2018,4,0,-0.046453472
2018,1,1,0.008461296
2018,2,1,-0.014974059
2018,3,1,0.024934032
2018,4,1,-0.045043468
2018,1,2,0.013738498
2018,2,2,-0.030006577
2018,3,2,0.043504062
2018,4,2,-0.046174831
2018,1,3,0.001443705
2018,2,3,-0.039692255
2018,3,3,0.062374196
2018,4,3,-0.024643141
2018,1,4,-0.004756802
2018,2,4,-0.017111008
2018,3,4,0.036057139
2018,4,4,-0.011796671
2019,1,0,0.028992765
2019,2,0,0.231035826
2019,3,0,0.112083641
2019,4,0,-0.03358
2019,1,1,0.021026694
2019,2,1,0.231225671
2019,3,1,0.093976053
2019,4,1,0.003450051
2019,1,2,0.026593796
2019,2,2,0.20719054
2019,3,2,0.106924824
2019,4,2,-0.01263129
2019,1,3,0.010250483
2019,2,3,0.213097458
2019,3,3,0.097965543
2019,4,3,-0.007375913
2019,1,4,0.001224207
2019,2,4,0.202828978
2019,3,4,0.102136507
2019,4,4,-0.016316851
2020,1,0,0.035122226
2020,2,0,0.044166274
2020,3,0,-0.071031109
2020,4,0,0.062147479
2020,1,1,0.034061105
2020,2,1,0.026260722
2020,3,1,-0.078304174
